,Date,Hour,Temp,Inlet Temp,Humidity,ch_in_d_off_2,ch_in_d_on_2,ch_out_d_off_2,ch_out_d_on_2,ch_in_d_off_1,ch_in_d_on_1,ch_out_d_off_1,ch_out_d_on_1
24,2023-01-13,9,36,36.0,66,520.48,635.76,520.48,635.76,245.48,306.85,245.48,306.85
25,2023-01-13,10,38,38.0,60,518.73,632.82,518.73,632.82,246.16,307.99,246.16,307.99
26,2023-01-13,11,41,41.0,55,515.88,628.4,515.88,628.4,246.72,308.7,246.72,308.7
27,2023-01-13,12,43,43.0,50,513.96,625.52,513.96,625.52,246.77,309.22,246.77,309.22
28,2023-01-13,13,45,45.0,46,511.95,622.64,511.95,622.64,246.57,309.4,246.57,309.4
29,2023-01-13,14,47,47.0,42,509.89,619.79,509.89,619.79,246.13,309.39,246.13,309.39
30,2023-01-13,15,49,49.0,39,507.75,616.96,507.75,616.96,245.43,309.05,245.43,309.05
31,2023-01-13,16,47,47.0,42,509.89,619.79,509.89,619.79,246.13,309.39,246.13,309.39
32,2023-01-13,17,45,45.0,46,511.95,622.64,511.95,622.64,246.57,309.4,246.57,309.4
33,2023-01-13,18,42,42.0,51,514.97,626.98,514.97,626.98,246.77,309.23,246.77,309.23
34,2023-01-13,19,40,40.0,55,516.89,629.89,516.89,629.89,246.59,308.78,246.59,308.78
35,2023-01-13,20,38,38.0,60,518.73,632.82,518.73,632.82,246.16,307.99,246.16,307.99
36,2023-01-13,21,36,36.0,65,520.51,635.78,520.51,635.78,245.48,307.01,245.48,307.01
37,2023-01-13,22,34,34.0,68,522.3,638.78,522.3,638.78,244.54,306.18,244.54,306.18
38,2023-01-13,23,33,33.0,71,523.13,640.28,523.13,640.28,243.98,305.45,243.98,305.45
